case_id,user_id,IP_id,BAddress_id,DAddress_id,device_id,amount,team_id,status,product_id,BIN_id
C41,U8776,IP2561,A6717,A6717,D6029,405.533,T137,S1,P3494,BIN555
C42,U14861,IP4364,A6860,A8369,D5137,54.293,T150,S2,P1439,BIN121
C43,U21702,IP2147,A1193,A9149,D2404,887.613,T156,S3,P390,BIN256
C44,U15766,IP7947,A8063,A8063,D4619,683.28,T157,S1,P3240,BIN744
C45,U18582,IP9040,A4283,A4283,D5200,439.751,T30,S1,P134,BIN670
C46,U19095,IP7262,A2167,A455,D9517,267.784,T82,S3,P2821,BIN472
C47,U21934,IP7111,A1737,A1737,D5309,139.235,T130,S2,P4621,BIN365
C48,U14254,IP6575,A2730,A2730,D9344,170.847,T111,S2,P3204,BIN131
C49,U1458,IP391,A5809,A5809,D6836,764.461,T142,S1,P306,BIN204
C50,U8633,IP3038,A9804,A9804,D9695,493.082,T107,S1,P4036,BIN329
C51,U13934,IP5510,A8139,A8139,D269,963.646,T61,S3,P2095,BIN228
C52,U11728,IP5693,A4520,A4520,D9901,871.064,T162,S2,P617,BIN413
C53,U18938,IP6715,A208,A208,D2,619.754,T163,S3,P2633,BIN746
C54,U21449,IP3417,A4264,A4264,D8117,379.785,T17,S1,P1857,BIN961
C55,U6452,IP6690,A6517,A4012,D1494,274.974,T177,S2,P632,BIN904
C56,U18145,IP4886,A4677,A4677,D424,449.381,T116,S3,P2276,BIN333
C57,U5437,IP9663,A9684,A9684,D8697,200.164,T39,S1,P453,BIN990
C58,U13319,IP3535,A3435,A2388,D3774,60.443,T56,S1,P1935,BIN746
C59,U21045,IP282,A9688,A9688,D2203,414.817,T150,S1,P1636,BIN167
C60,U21758,IP8415,A3654,A4597,D6001,412.017,T32,S2,P4100,BIN623
C61,U24665,IP9420,A5006,A4094,D2427,253.45,T64,S3,P3910,BIN545
C62,U18479,IP523,A569,A569,D4750,993.552,T77,S1,P3436,BIN138
C63,U973,IP5120,A6026,A6422,D1105,654.92,T49,S2,P3358,BIN778
C64,U15354,IP3587,A256,A256,D3605,298.487,T29,S3,P1532,BIN759
C65,U5160,IP5658,A9723,A9723,D3324,363.789,T164,S2,P3871,BIN185
C66,U6593,IP8866,A190,A190,D775,311.979,T80,S3,P358,BIN149
C67,U7968,IP1021,A4050,A4050,D2663,384.855,T184,S1,P2889,BIN688
C68,U4398,IP8213,A7594,A7594,D8985,515.321,T48,S1,P3219,BIN736
C69,U9783,IP6754,A4995,A4995,D3903,61.782,T65,S3,P4437,BIN264
C70,U20610,IP6575,A7177,A7177,D5219,117.583,T11,S1,P4626,BIN955
C71,U20107,IP9247,A4080,A6611,D2952,730.878,T30,S2,P3818,BIN705
C72,U21049,IP59,A7096,A7096,D4047,111.584,T122,S1,P1895,BIN277
C73,U17281,IP7171,A8562,A8562,D7593,340.86,T6,S1,P2406,BIN85
C74,U10628,IP4664,A2947,A2947,D6906,934.73,T14,S1,P4059,BIN356
C75,U8321,IP9400,A6471,A6471,D7401,414.409,T101,S2,P1211,BIN688
C76,U5167,IP2306,A9132,A9132,D2908,757.18,T174,S3,P671,BIN613
C77,U5554,IP3726,A8478,A8478,D7545,124.637,T32,S3,P1202,BIN180
C78,U3867,IP8653,A5182,A1656,D869,983.928,T103,S2,P140,BIN337
C79,U9136,IP2806,A4486,A5771,D1480,741.989,T22,S1,P462,BIN446
C80,U7556,IP2943,A9031,A9031,D1161,479.228,T184,S1,P3676,BIN551
C81,U1116,IP7678,A4651,A4651,D7914,704.453,T74,S2,P3628,BIN861
C82,U20429,IP4941,A7854,A7854,D3752,241.744,T41,S3,P1357,BIN898
C83,U2074,IP5020,A8693,A8693,D477,786.224,T2,S2,P1588,BIN368
C84,U21928,IP2755,A186,A186,D2168,220.151,T174,S2,P2062,BIN48
C85,U22334,IP1052,A9007,A9007,D5793,221.699,T180,S1,P2299,BIN863
C86,U8619,IP6724,A6442,A6442,D3971,324.545,T126,S1,P2539,BIN671
C87,U16781,IP2970,A8932,A8932,D9911,945.131,T47,S1,P781,BIN252
C88,U10265,IP6092,A1791,A1791,D6209,156.346,T162,S2,P4959,BIN952
C89,U20425,IP2427,A8132,A8132,D1297,784.676,T108,S1,P3780,BIN615
C90,U7188,IP3868,A9200,A9200,D8887,69.532,T96,S1,P4221,BIN559
C91,U12350,IP5512,A9346,A9346,D3848,296.336,T37,S3,P1348,BIN918
C92,U1545,IP981,A7313,A2997,D3179,788.57,T195,S3,P4844,BIN834
C93,U11862,IP9522,A605,A1494,D7894,946.503,T192,S2,P2224,BIN461
C94,U20039,IP8644,A9050,A9050,D1325,298.859,T196,S2,P3581,BIN789
C95,U14496,IP9640,A1768,A5972,D4407,362.956,T146,S1,P1699,BIN997
C96,U16054,IP293,A1239,A1239,D7198,230.368,T131,S3,P3163,BIN123
C97,U23810,IP3371,A4952,A4952,D5043,834.201,T85,S2,P822,BIN174
C98,U11608,IP4549,A2305,A2305,D5529,690.451,T85,S3,P4904,BIN335
C99,U15205,IP8474,A2813,A2813,D2068,194.455,T72,S2,P3719,BIN693
C100,U21862,IP3657,A5875,A5875,D1958,772.087,T169,S1,P4742,BIN828
C101,U15405,IP1594,A3107,A3107,D400,415.297,T123,S3,P4459,BIN196
C102,U23336,IP8584,A9758,A9758,D8328,838.436,T180,S3,P2825,BIN596
C103,U9251,IP1284,A463,A463,D3071,922.585,T130,S3,P666,BIN422
C104,U16370,IP615,A6991,A6991,D8943,789.099,T164,S2,P3717,BIN200
C105,U17273,IP6348,A8602,A8602,D9463,40.294,T92,S2,P4763,BIN386
C106,U23391,IP8290,A2903,A2903,D4704,572.842,T6,S2,P866,BIN606
C107,U12474,IP272,A6604,A6604,D7139,311.418,T18,S1,P4739,BIN973
C108,U19225,IP9100,A6967,A6967,D6745,246.05,T3,S2,P4216,BIN632
C109,U24414,IP5895,A8296,A8296,D6339,623.054,T190,S2,P4179,BIN458
C110,U8101,IP3623,A3063,A3063,D8227,353.466,T146,S3,P866,BIN802
C111,U3045,IP3598,A3035,A3035,D6037,130.737,T126,S2,P582,BIN238
C112,U13326,IP9743,A6791,A6791,D8631,612.979,T100,S3,P1017,BIN914
C113,U8705,IP7429,A1429,A1429,D548,564.565,T18,S2,P3760,BIN930
C114,U24315,IP309,A3994,A3994,D5894,87.473,T63,S3,P973,BIN577
C115,U24054,IP9258,A9785,A9785,D1060,614.383,T179,S2,P2292,BIN629
C116,U3069,IP5752,A3685,A3685,D7227,786.227,T186,S3,P3769,BIN750
C117,U11611,IP2768,A9980,A9980,D1234,785.697,T14,S3,P159,BIN157
C118,U2303,IP5705,A9203,A9203,D3785,28.496,T3,S1,P804,BIN400
C119,U8593,IP9779,A6234,A6234,D5474,635.839,T84,S2,P2951,BIN1000
C120,U23473,IP125,A9471,A9471,D9742,676.087,T72,S2,P3099,BIN79
C121,U10348,IP7845,A9907,A9907,D1996,69.4,T55,S2,P664,BIN928
C122,U3614,IP388,A3651,A3651,D4655,516.598,T182,S1,P2203,BIN291
C123,U12198,IP3436,A7492,A7492,D6094,701.154,T24,S2,P2295,BIN274
C124,U5333,IP6843,A5870,A5870,D4498,507.119,T112,S3,P3156,BIN328
C125,U21651,IP1554,A3692,A3692,D6624,212.414,T124,S3,P1211,BIN216
C126,U22776,IP8719,A5762,A5762,D1088,191.578,T126,S2,P2819,BIN843
C127,U11940,IP3719,A774,A774,D6768,342.356,T71,S3,P4916,BIN1000
C128,U5091,IP314,A6856,A6856,D9696,502.019,T95,S2,P2692,BIN182
C129,U16519,IP9408,A799,A799,D8518,394.795,T28,S2,P1001,BIN856
C130,U10583,IP9426,A9746,A9746,D8165,960.682,T104,S2,P2358,BIN754
C131,U6674,IP5108,A9077,A5007,D5317,983.803,T29,S3,P3297,BIN750
C132,U18674,IP7866,A4896,A4955,D8344,547.872,T33,S2,P768,BIN852
C133,U16784,IP2760,A4164,A4164,D4251,534.633,T198,S1,P3746,BIN353
C134,U10246,IP2907,A133,A133,D7714,467.778,T3,S2,P2949,BIN79
C135,U3953,IP9873,A2400,A7427,D4685,918.418,T34,S3,P2054,BIN609
C136,U16160,IP3334,A7475,A7475,D9043,646.502,T83,S2,P3593,BIN90
C137,U5122,IP4839,A7612,A7612,D4833,359.048,T63,S2,P4566,BIN543
C138,U15611,IP5386,A78,A8955,D2197,982.619,T163,S3,P516,BIN989
C139,U5905,IP7560,A9918,A9918,D8466,570.467,T89,S2,P2013,BIN5
C140,U8775,IP5925,A2631,A4244,D943,438.501,T30,S1,P780,BIN415
C141,U4169,IP775,A1246,A2002,D6590,364.986,T142,S2,P3274,BIN543
C142,U23230,IP1333,A2560,A2560,D9997,692.734,T14,S1,P3461,BIN878
C143,U8928,IP6134,A82,A82,D795,859.469,T152,S3,P93,BIN782
C144,U16365,IP7430,A7415,A3492,D2586,852.367,T87,S1,P2526,BIN87
C145,U17742,IP9919,A9268,A9268,D7257,846.538,T120,S1,P4104,BIN268
C146,U7081,IP4598,A8876,A4806,D5485,95.983,T46,S1,P3208,BIN54
C147,U10405,IP1301,A9439,A9439,D638,91.001,T52,S1,P3569,BIN721
C148,U17215,IP2601,A1151,A1151,D8606,987.957,T41,S2,P3833,BIN400
C149,U2755,IP5306,A7431,A7431,D1866,684.379,T172,S3,P3942,BIN819
C150,U21356,IP5642,A1978,A1978,D6611,810.683,T68,S3,P3397,BIN120
C151,U19767,IP8459,A5116,A4624,D954,459.512,T155,S3,P4932,BIN694
C152,U7781,IP2055,A6173,A6173,D5257,655.267,T28,S1,P2910,BIN743
C153,U4351,IP6875,A5403,A5403,D7328,645.532,T184,S3,P784,BIN221
C154,U7822,IP6898,A3165,A5453,D9953,438.628,T113,S1,P563,BIN338
C155,U1137,IP9918,A375,A375,D3877,978.873,T181,S2,P1461,BIN249
C156,U2685,IP4398,A2320,A2320,D5640,618.267,T17,S2,P3312,BIN723
C157,U13885,IP2199,A2655,A5027,D4239,543.988,T119,S2,P1430,BIN279
C158,U24937,IP831,A9382,A9382,D8195,229.15,T105,S1,P4189,BIN982
C159,U5475,IP8575,A7435,A7435,D4129,337.192,T34,S3,P1615,BIN695
C160,U15109,IP4447,A7869,A7869,D8119,477.238,T13,S3,P3226,BIN357
C161,U24913,IP918,A5205,A7090,D9338,709.768,T147,S3,P2417,BIN859
C162,U1065,IP5592,A4952,A4952,D7795,241.7,T89,S1,P2905,BIN672
C163,U6627,IP8064,A6818,A6818,D4181,963.452,T184,S2,P3519,BIN708
C164,U24526,IP7405,A8844,A8844,D6944,289.74,T145,S2,P527,BIN966
C165,U16030,IP6790,A4522,A4522,D2317,880.774,T14,S2,P793,BIN475
C166,U18855,IP1264,A5963,A5963,D5259,349.229,T107,S2,P1425,BIN184
C167,U12914,IP8524,A7908,A4619,D6351,388.771,T24,S1,P4159,BIN56
C168,U12590,IP4632,A653,A653,D2334,495.984,T9,S1,P3896,BIN946
C169,U6421,IP4343,A9200,A9200,D6236,801.244,T73,S1,P1627,BIN916
C170,U12088,IP5702,A7725,A7725,D8882,918.863,T15,S3,P4548,BIN72
C171,U8934,IP6643,A1095,A2846,D8979,761.596,T124,S2,P1374,BIN301
C172,U3862,IP5245,A876,A876,D8438,443.991,T122,S1,P3335,BIN35
C173,U10329,IP5485,A4643,A4643,D1651,528.863,T72,S2,P2076,BIN554
C174,U74,IP2650,A5710,A5710,D9074,254.146,T105,S2,P164,BIN727
C175,U16077,IP8356,A7923,A7923,D6098,295.745,T176,S3,P4360,BIN210
C176,U10983,IP9230,A9676,A9676,D1450,821.52,T70,S3,P2856,BIN35
C177,U10154,IP5107,A5923,A9557,D766,693.457,T187,S3,P2431,BIN94
C178,U22986,IP6484,A8234,A8234,D4457,900.293,T150,S3,P2766,BIN147
C179,U19826,IP2706,A1998,A1998,D2611,244.204,T153,S2,P2218,BIN215
C180,U3833,IP1936,A4806,A4806,D6927,614.284,T101,S1,P4018,BIN206
C181,U24826,IP3695,A4226,A4226,D9388,726.88,T27,S3,P2792,BIN810
C182,U24349,IP7219,A4740,A4740,D2807,763.524,T133,S3,P2377,BIN808
C183,U22315,IP5747,A35,A35,D9879,966.662,T98,S1,P4003,BIN434
C184,U24229,IP6897,A1459,A1459,D4868,767.518,T181,S2,P1237,BIN729
C185,U20189,IP9300,A7852,A7852,D1298,382.036,T170,S2,P4949,BIN693
C186,U4278,IP6693,A7036,A7036,D5620,534.771,T24,S3,P1185,BIN491
C187,U14752,IP4109,A9430,A9430,D9844,565.104,T69,S2,P2861,BIN653
C188,U1663,IP3756,A3309,A2653,D3497,614.423,T3,S1,P3450,BIN656
C189,U16573,IP814,A4598,A5594,D1748,705.062,T47,S3,P2588,BIN536
C190,U13953,IP1814,A2048,A2048,D2585,342.547,T120,S3,P1407,BIN821
C191,U1270,IP8835,A5977,A5977,D9324,548.39,T100,S2,P1087,BIN203
C192,U16689,IP756,A30,A30,D7822,249.501,T16,S1,P1856,BIN804
C193,U20449,IP9425,A3556,A3556,D4238,992.497,T4,S1,P4170,BIN720
C194,U3260,IP3564,A3770,A3770,D7553,674.908,T38,S1,P3083,BIN593
C195,U18474,IP1480,A2973,A3462,D9979,18.46,T158,S3,P2358,BIN851
C196,U6587,IP6708,A8273,A9407,D7054,469.208,T123,S2,P4873,BIN858
C197,U17009,IP5404,A821,A821,D7471,152.766,T82,S2,P1681,BIN318
C198,U19468,IP1138,A8932,A8932,D759,570.954,T173,S2,P4548,BIN631
C199,U8472,IP6070,A817,A817,D3562,869.88,T1,S1,P1985,BIN641
C200,U13066,IP5680,A7663,A7663,D5743,597.745,T188,S3,P4411,BIN806
C201,U8830,IP2891,A5444,A5444,D7433,332.573,T48,S2,P16,BIN223
C202,U10329,IP8992,A5653,A5653,D2980,787.313,T89,S1,P1335,BIN81
C203,U17435,IP2519,A4459,A4459,D6573,611.587,T4,S1,P733,BIN159
C204,U8881,IP8702,A692,A692,D7096,495.191,T7,S2,P1817,BIN449
C205,U22278,IP6236,A9057,A9057,D2919,640.689,T154,S1,P902,BIN170
C206,U9991,IP865,A6800,A4465,D6059,165.537,T129,S2,P1101,BIN540
C207,U6823,IP9351,A4555,A6505,D3173,471.194,T134,S1,P2674,BIN807
C208,U9420,IP764,A5582,A5582,D3351,324.504,T166,S1,P2578,BIN401
C209,U3182,IP7649,A5042,A5042,D1509,263.358,T92,S1,P2139,BIN890
C210,U5696,IP8896,A159,A159,D837,681.289,T143,S3,P2992,BIN333
C211,U5230,IP6174,A7037,A7037,D323,631.821,T38,S2,P2562,BIN513
C212,U1503,IP8035,A4145,A9731,D7332,193.22,T46,S2,P979,BIN430
C213,U11387,IP7362,A860,A860,D6988,319.9,T172,S2,P2424,BIN160
C214,U22285,IP7859,A5595,A422,D7882,755.593,T133,S1,P4533,BIN631
C215,U20449,IP9253,A4942,A4942,D4512,570.324,T136,S2,P3425,BIN750
C216,U4871,IP9850,A2480,A2480,D1316,615.951,T151,S3,P4428,BIN459
C217,U192,IP4371,A208,A208,D8520,356.186,T175,S3,P4162,BIN162
C218,U20190,IP4217,A5374,A5374,D8614,209.33,T125,S3,P2732,BIN778
C219,U23763,IP6740,A5820,A5820,D5145,683.864,T10,S1,P434,BIN876
C220,U22090,IP2293,A938,A938,D4235,858.04,T43,S3,P2096,BIN819
C221,U6377,IP7884,A44,A44,D6487,445.525,T61,S1,P1510,BIN400
C222,U5714,IP7215,A7563,A7563,D4446,907.491,T44,S3,P3598,BIN406
C223,U11631,IP3634,A7818,A7818,D5685,620.09,T116,S1,P2604,BIN556
C224,U4899,IP5444,A1197,A1197,D5861,603.922,T191,S3,P3838,BIN610
C225,U4436,IP7092,A1202,A3897,D9856,504.011,T196,S1,P3327,BIN402
C226,U90,IP4558,A3981,A3981,D9364,533.507,T135,S1,P674,BIN415
C227,U18952,IP415,A7610,A7610,D9998,973.731,T43,S2,P4568,BIN503
C228,U19334,IP4256,A2537,A2537,D7146,76.921,T119,S3,P3125,BIN110
C229,U19902,IP9574,A307,A7102,D5166,564.67,T78,S2,P861,BIN575
C230,U6026,IP8353,A3589,A3589,D7019,99.318,T85,S1,P3522,BIN892
C231,U2796,IP3396,A3753,A3753,D7972,317.126,T120,S1,P1481,BIN830
C232,U3346,IP3895,A6421,A8439,D9137,684.376,T106,S1,P1828,BIN263
C233,U1154,IP6733,A5023,A5023,D7796,440.715,T24,S1,P2752,BIN872
C234,U22181,IP7923,A9376,A9376,D6844,811.526,T69,S2,P1287,BIN371
C235,U11061,IP9348,A9772,A9772,D1477,832.229,T168,S1,P1094,BIN74
C236,U3965,IP3924,A8369,A8369,D9020,505.084,T114,S1,P282,BIN161
C237,U16889,IP8023,A4260,A4260,D2034,416.923,T46,S1,P393,BIN379
C238,U12291,IP4900,A1830,A1830,D4966,630.258,T66,S1,P4637,BIN654
C239,U21792,IP1702,A2278,A2278,D8981,199.752,T176,S1,P3179,BIN336
C240,U6520,IP2162,A8750,A8750,D743,431.153,T23,S1,P2992,BIN332
C241,U2527,IP4406,A9926,A9926,D7645,355.575,T23,S2,P4752,BIN545
C242,U11471,IP2533,A4879,A4879,D4769,390.041,T175,S3,P1389,BIN532
C243,U11030,IP721,A781,A781,D4731,731.596,T92,S2,P2774,BIN69
C244,U866,IP8254,A9614,A9614,D9417,610.395,T121,S2,P3722,BIN372
C245,U23186,IP5466,A7033,A7033,D7156,871.528,T30,S2,P1534,BIN520
C246,U22566,IP5565,A867,A867,D8829,694.15,T101,S3,P2058,BIN380
C247,U4909,IP5443,A7507,A4560,D6331,214.241,T131,S3,P174,BIN734
C248,U19007,IP9047,A2980,A2980,D3214,880.423,T187,S3,P3455,BIN137
C249,U3480,IP3933,A4533,A4533,D9846,46.854,T5,S1,P4941,BIN22
C250,U20262,IP9206,A9511,A9511,D8655,858.517,T79,S3,P1472,BIN558
C251,U20377,IP911,A7479,A7479,D2725,305.721,T199,S3,P2189,BIN931
C252,U70,IP2714,A7073,A7073,D3845,264.598,T43,S1,P937,BIN259
C253,U20352,IP5964,A125,A125,D5572,471.068,T109,S2,P1366,BIN176
C254,U15110,IP5760,A2112,A2112,D1175,68.419,T21,S1,P1271,BIN959
C255,U23381,IP220,A1420,A1420,D3142,873.773,T80,S2,P977,BIN637
C256,U17090,IP6225,A960,A960,D6867,231.946,T148,S2,P3030,BIN247
C257,U14314,IP5481,A8458,A8458,D3999,302.226,T27,S1,P3060,BIN67
C258,U8514,IP5266,A6325,A6325,D1224,568.696,T146,S2,P840,BIN833
C259,U8536,IP7258,A6590,A6590,D6406,120.089,T31,S3,P3643,BIN871
C260,U10629,IP1261,A4722,A4722,D6049,362.068,T99,S1,P1159,BIN798
C261,U22006,IP6096,A3652,A3652,D2513,385.248,T84,S3,P3191,BIN57
C262,U18202,IP2171,A8680,A9556,D7432,159.296,T129,S3,P754,BIN248
C263,U5336,IP2664,A3614,A3614,D9126,895.093,T79,S1,P2901,BIN435
C264,U16898,IP6937,A1869,A1869,D1812,235.005,T73,S2,P496,BIN228
C265,U18689,IP4722,A3852,A4935,D9194,453.494,T134,S3,P2742,BIN543
C266,U21705,IP3467,A1766,A1469,D4853,448.492,T7,S3,P3296,BIN139
C267,U17725,IP2492,A525,A525,D797,202.343,T158,S2,P1321,BIN395
C268,U2628,IP3830,A3051,A3051,D2355,871.831,T57,S2,P311,BIN145
C269,U8395,IP6824,A7670,A7670,D5573,858.115,T34,S3,P1365,BIN460
C270,U2887,IP5024,A474,A6028,D1442,374.013,T188,S1,P3988,BIN930
C271,U6413,IP6348,A8803,A8175,D3571,432.656,T53,S3,P4050,BIN600
C272,U655,IP2686,A5269,A5269,D7523,816.64,T15,S2,P2185,BIN550
C273,U11748,IP4454,A9785,A6723,D7568,288.843,T183,S1,P3679,BIN749
C274,U18608,IP1894,A7029,A7029,D7044,228.858,T192,S2,P1375,BIN128
C275,U1683,IP9342,A21,A6706,D4569,582.144,T181,S3,P2470,BIN870
C276,U3836,IP2955,A8796,A8796,D9664,979.352,T39,S3,P2324,BIN599
C277,U2084,IP4711,A5721,A5721,D2015,453.81,T105,S3,P4465,BIN968
C278,U4220,IP5252,A7688,A7688,D2966,33.421,T194,S1,P4463,BIN154
C279,U13527,IP111,A5850,A6887,D9006,298.785,T96,S3,P3936,BIN418
C280,U20672,IP797,A4784,A4784,D2790,719.554,T168,S1,P289,BIN132
C281,U4419,IP8069,A3881,A3881,D505,769.55,T131,S3,P884,BIN449
C282,U7691,IP3343,A4895,A4895,D7384,415.946,T35,S2,P3350,BIN860
C283,U10893,IP5383,A8650,A5303,D3111,347.696,T70,S2,P603,BIN731
C284,U23752,IP3603,A151,A1263,D1204,229.341,T160,S3,P3860,BIN917
C285,U23937,IP3132,A6284,A6284,D1843,664.692,T113,S1,P2143,BIN679
C286,U7808,IP6315,A7477,A7477,D6846,303.207,T114,S2,P3558,BIN880
C287,U22497,IP58,A4639,A4639,D6827,795.116,T163,S2,P3354,BIN373
C288,U6945,IP8188,A2753,A2753,D1411,188.808,T35,S3,P3573,BIN271
C289,U11178,IP6810,A8122,A4304,D9398,245.907,T36,S2,P2017,BIN96
C290,U7086,IP5126,A8027,A8027,D6974,615.599,T69,S1,P3511,BIN991
C291,U18110,IP650,A6736,A6736,D7668,967.122,T88,S3,P23,BIN148
C292,U9047,IP2844,A9075,A9075,D6630,829.557,T158,S2,P745,BIN350
C293,U24795,IP6663,A279,A279,D9848,713.409,T56,S1,P2226,BIN119
C294,U19742,IP2874,A993,A9056,D6072,871.625,T51,S3,P2403,BIN101
C295,U11516,IP9048,A9550,A8426,D8689,34.364,T48,S3,P422,BIN617
C296,U10506,IP9199,A8716,A5060,D1487,997.182,T50,S3,P4411,BIN939
C297,U19802,IP5201,A8221,A8221,D5375,99.798,T49,S3,P4978,BIN24
C298,U24300,IP2804,A7200,A7200,D3818,52.014,T173,S3,P2443,BIN392
C299,U9324,IP3059,A4723,A4723,D5557,891.561,T7,S2,P4164,BIN236
C300,U15660,IP8435,A4794,A4794,D5597,536.373,T173,S1,P661,BIN10
C301,U19508,IP4300,A5304,A5304,D2251,597.282,T26,S2,P907,BIN226
C302,U19208,IP1065,A546,A546,D3477,337.459,T118,S2,P72,BIN367
C303,U13680,IP9932,A849,A849,D9936,872.182,T174,S2,P922,BIN260
C304,U20894,IP7846,A7075,A7075,D8656,347.81,T84,S2,P2338,BIN681
C305,U22915,IP1594,A8503,A8503,D4911,25.144,T140,S1,P4218,BIN640
C306,U8122,IP3802,A428,A428,D123,378.104,T14,S2,P301,BIN252
C307,U21476,IP9175,A8528,A7630,D9013,674.669,T157,S3,P1533,BIN150
C308,U14048,IP7941,A5088,A5088,D6372,757.592,T124,S2,P2898,BIN429
C309,U6242,IP9673,A9749,A9749,D6134,703.07,T93,S3,P114,BIN54
C310,U24363,IP7590,A9083,A9083,D9272,530.631,T170,S3,P1748,BIN297
C311,U23054,IP1363,A7771,A7771,D3879,853.643,T158,S2,P2344,BIN407
C312,U2371,IP7329,A1795,A1795,D6131,417.487,T58,S1,P518,BIN617
C313,U22338,IP3228,A6685,A6685,D737,370.203,T143,S3,P485,BIN864
C314,U6422,IP9407,A6493,A6493,D4,135.888,T117,S2,P2316,BIN971
C315,U14553,IP368,A1927,A1927,D2707,130.905,T115,S1,P4264,BIN633
C316,U350,IP2485,A4485,A4485,D3627,811.751,T158,S2,P2219,BIN427
C317,U10206,IP8930,A2471,A2471,D2311,555.965,T179,S2,P2370,BIN92
C318,U8285,IP7349,A6744,A1564,D4165,252.627,T186,S3,P1693,BIN992
C319,U24990,IP7434,A9586,A5085,D8181,767.617,T181,S1,P2272,BIN177
C320,U24776,IP2168,A8478,A8478,D6877,608.734,T9,S2,P2829,BIN272
C321,U23548,IP7716,A5477,A5477,D9969,244.407,T170,S2,P4959,BIN357
C322,U19771,IP6102,A8822,A8822,D8575,444.958,T24,S2,P2023,BIN389
C323,U21877,IP6894,A3499,A3499,D2465,273.76,T88,S2,P557,BIN857
C324,U17459,IP1723,A940,A940,D1978,481.931,T101,S3,P141,BIN657
C325,U22220,IP9441,A6183,A6183,D4809,515.405,T168,S2,P4747,BIN334
C326,U8064,IP1853,A1690,A1690,D282,137.706,T155,S1,P2166,BIN532
C327,U22680,IP4955,A3440,A3440,D7174,719.083,T58,S1,P3004,BIN143
C328,U21140,IP805,A6681,A6681,D5802,767.521,T133,S1,P472,BIN226
