user_id,product_id,category_id
U5166,P23,C10
U8050,P50,C7
U8441,P50,C7
U355,P13,C5
U3776,P64,C5
U7243,P25,C2
U163,P57,C9
U8722,P61,C4
U6066,P86,C10
U8468,P60,C2
U5988,P61,C4
U8902,P13,C5
U992,P69,C4
U8750,P1,C5
U3630,P30,C4
U7005,P65,C5
U3574,P83,C6
U1010,P85,C8
U7551,P7,C2
U5871,P60,C2
U4213,P93,C3
U3631,P33,C4
U3341,P57,C9
U4144,P1,C5
U6629,P94,C8
U3072,P82,C9
U155,P24,C9
U3034,P16,C8
U3138,P90,C2
U797,P27,C6
U3534,P6,C9
U300,P12,C10
U4165,P94,C8
U9012,P89,C10
U7354,P92,C1
U3785,P83,C6
U6139,P34,C6
U4518,P70,C8
U4190,P50,C7
U6206,P27,C6
U8191,P71,C3
U6373,P22,C1
U7940,P63,C8
U8763,P25,C2
U3454,P57,C9
U997,P62,C4
U1214,P63,C8
U3650,P14,C8
U5189,P59,C9
U7842,P39,C4
U2699,P72,C9
U4537,P39,C4
U1440,P40,C6
U9833,P6,C9
U6459,P16,C8
U9743,P92,C1
U4459,P20,C8
U5396,P55,C5
U5978,P11,C1
U4910,P82,C9
U2790,P55,C5
U3086,P31,C2
U645,P40,C6
U784,P95,C6
U4535,P88,C5
U5583,P29,C10
U1316,P97,C7
U6920,P18,C10
U74,P36,C6
U7130,P100,C7
U4643,P29,C10
U4038,P85,C8
U1329,P51,C3
U7372,P57,C9
U2894,P70,C8
U6108,P33,C4
U2494,P14,C8
U4993,P24,C9
U7163,P98,C2
U8260,P54,C3
U4100,P48,C6
U6535,P33,C4
U7075,P85,C8
U8120,P38,C7
U8247,P58,C4
U9382,P1,C5
U9327,P15,C9
U6272,P76,C9
U7918,P3,C5
U2981,P77,C8
U777,P98,C2
U6219,P66,C8
U7359,P8,C10
U9081,P33,C4
U9155,P65,C5
U5420,P80,C5
U3727,P21,C1
U21,P37,C10
U5942,P61,C4
U6768,P4,C5
U2395,P76,C9
U3921,P94,C8
U1466,P33,C4
U4232,P69,C4
U9659,P15,C9
U6972,P1,C5
U1865,P63,C8
U7265,P47,C9
U6902,P67,C1
U6022,P61,C4
U1191,P5,C2
U6095,P7,C2
U9718,P45,C10
U9078,P98,C2
U9631,P97,C7
U3993,P61,C4
U3996,P45,C10
U7495,P23,C10
U623,P15,C9
U3271,P30,C4
U8477,P88,C5
U1169,P59,C9
U5420,P30,C4
U8858,P67,C1
U9953,P35,C10
U7302,P33,C4
U3602,P97,C7
U7077,P75,C4
U2912,P65,C5
U4022,P72,C9
U1950,P5,C2
U7487,P13,C5
U197,P47,C9
U2472,P60,C2
U2141,P24,C9
U2537,P25,C2
U5022,P97,C7
U4855,P45,C10
U9792,P17,C1
U3148,P81,C6
U7573,P50,C7
U1362,P72,C9
U3509,P33,C4
U8345,P14,C8
U1336,P65,C5
U5907,P73,C10
U2843,P25,C2
U3577,P41,C1
U5267,P57,C9
U9167,P47,C9
U8269,P73,C10
U5446,P34,C6
U7986,P97,C7
U7546,P70,C8
U4688,P91,C5
U268,P72,C9
U9288,P69,C4
U8367,P86,C10
U2290,P20,C8
U50,P41,C1
U2426,P10,C3
U4857,P98,C2
U5129,P78,C3
U2304,P78,C3
U7861,P2,C5
U9307,P91,C5
U8226,P60,C2
U9425,P72,C9
U5480,P72,C9
U9143,P27,C6
U8630,P28,C2
U9298,P100,C7
U7641,P10,C3
U8614,P18,C10
U4492,P15,C9
U1253,P83,C6
U9816,P69,C4
U8292,P85,C8
U8933,P10,C3
U513,P86,C10
U9113,P46,C1
U5628,P31,C2
U2216,P71,C3
U9905,P94,C8
U3489,P86,C10
U2464,P98,C2
U6612,P8,C10
U9731,P73,C10
U6070,P52,C10
U9567,P3,C5
U3199,P49,C4
U5428,P3,C5
U9702,P49,C4
U4021,P32,C9
U8814,P91,C5
U7945,P95,C6
U6548,P60,C2
U2600,P50,C7
U4383,P91,C5
U3577,P95,C6
U6389,P72,C9
U3167,P61,C4
U2949,P83,C6
U8441,P9,C8
U5103,P38,C7
U6531,P90,C2
U6830,P94,C8
U7717,P62,C4
U1775,P10,C3
U3234,P54,C3
U8589,P20,C8
U1341,P36,C6
U8810,P26,C2
U3295,P67,C1
U9721,P83,C6
U5900,P2,C5
U4540,P23,C10
U2052,P44,C3
U4325,P74,C3
U7173,P16,C8
U1871,P39,C4
U1951,P75,C4
U2395,P17,C1
U8949,P81,C6
U9717,P89,C10
U8367,P6,C9
U8852,P72,C9
U1554,P45,C10
U6211,P27,C6
U7376,P75,C4
U9915,P81,C6
U7871,P62,C4
U3953,P25,C2
U4738,P83,C6
U8031,P43,C1
U5529,P60,C2
U7946,P29,C10
U8350,P95,C6
U189,P77,C8
U1408,P36,C6
U6280,P6,C9
U855,P26,C2
U2187,P63,C8
U8667,P54,C3
U2107,P60,C2
U5228,P51,C3
U3140,P50,C7
U7055,P13,C5
U3015,P89,C10
U3739,P24,C9
U405,P96,C2
U4462,P63,C8
U500,P11,C1
U9900,P29,C10
U4936,P100,C7
U1367,P55,C5
U7925,P84,C10
U3760,P63,C8
U1077,P47,C9
U119,P50,C7
U87,P49,C4
U3219,P16,C8
U2797,P54,C3
U7865,P64,C5
U1298,P26,C2
U7908,P26,C2
U461,P58,C4
U5291,P77,C8
U1775,P62,C4
U7620,P71,C3
U8371,P13,C5
U3375,P50,C7
U4036,P40,C6
U4292,P21,C1
U3510,P33,C4
U6841,P37,C10
U1984,P74,C3
U5089,P76,C9
U201,P96,C2
U6108,P46,C1
U5427,P15,C9
U4271,P12,C10
U3720,P75,C4
U9203,P92,C1
U1887,P24,C9
U3213,P2,C5
U8279,P47,C9
U1307,P46,C1
U5702,P1,C5
U1207,P76,C9
U1277,P44,C3
U2397,P44,C3
U1707,P92,C1
U4479,P93,C3
U6209,P67,C1
U2785,P81,C6
U7030,P25,C2
U7243,P20,C8
U1228,P100,C7
U2284,P20,C8
U9939,P11,C1
U6533,P31,C2
U8968,P95,C6
U1164,P54,C3
U9073,P82,C9
U2088,P22,C1
U5969,P78,C3
U131,P55,C5
U9897,P94,C8
U3590,P55,C5
U6795,P60,C2
U2147,P15,C9
U7744,P27,C6
U225,P98,C2
U8777,P98,C2
U1041,P14,C8
U8458,P75,C4
U1685,P45,C10
U8193,P51,C3
U635,P29,C10
U8282,P99,C2
U5509,P87,C1
U7667,P27,C6
U3333,P75,C4
U4393,P37,C10
U2972,P74,C3
U7571,P3,C5
U9012,P74,C3
U6303,P48,C6
U4587,P11,C1
U1316,P31,C2
U3441,P62,C4
U6157,P74,C3
U6756,P21,C1
U5524,P89,C10
U421,P79,C8
U2938,P36,C6
U3086,P74,C3
U1326,P91,C5
U3395,P15,C9
U1534,P15,C9
U7453,P70,C8
U2255,P52,C10
U342,P82,C9
U2696,P33,C4
U1029,P76,C9
U7563,P70,C8
U457,P17,C1
U4010,P2,C5
U2184,P49,C4
U7161,P38,C7
U2310,P64,C5
U5195,P46,C1
U6402,P76,C9
U5858,P49,C4
U990,P29,C10
U3263,P10,C3
U3190,P92,C1
U77,P99,C2
U6069,P100,C7
U4383,P36,C6
U8332,P18,C10
U9803,P84,C10
U3118,P100,C7
U9650,P31,C2
U2756,P14,C8
U2191,P86,C10
U9011,P32,C9
U1383,P15,C9
U3822,P15,C9
U910,P32,C9
U5254,P48,C6
U5068,P82,C9
U864,P34,C6
U7140,P44,C3
U4188,P35,C10
U9598,P24,C9
U4481,P55,C5
U3894,P58,C4
U70,P37,C10
U5089,P1,C5
U8237,P97,C7
U5293,P82,C9
U751,P59,C9
U3212,P50,C7
U2193,P55,C5
U6332,P38,C7
U5970,P84,C10
U9730,P33,C4
U2,P71,C3
U6722,P85,C8
U5104,P56,C1
U2710,P13,C5
U5184,P100,C7
U4456,P82,C9
U644,P81,C6
U2759,P30,C4
U7637,P24,C9
U888,P77,C8
U3623,P19,C7
U3554,P38,C7
U8416,P35,C10
U9345,P69,C4
U3769,P22,C1
U1904,P13,C5
U9429,P96,C2
U3520,P71,C3
U235,P93,C3
U6659,P6,C9
U4764,P95,C6
U262,P72,C9
U8432,P51,C3
U4868,P72,C9
U2105,P41,C1
U3732,P47,C9
U4697,P54,C3
U1780,P23,C10
U5913,P84,C10
U4405,P96,C2
U3335,P82,C9
U8507,P1,C5
U8862,P87,C1
U6845,P62,C4
U9879,P41,C1
U7464,P76,C9
U4434,P58,C4
U4824,P68,C4
U370,P64,C5
U1081,P90,C2
U1463,P42,C6
U959,P64,C5
U8886,P90,C2
U3684,P55,C5
U966,P52,C10
U761,P48,C6
U4614,P78,C3
U9937,P28,C2
U6626,P58,C4
U7757,P70,C8
U5329,P35,C10
U5797,P48,C6
U2963,P69,C4
U7174,P57,C9
U6330,P94,C8
U9522,P86,C10
U9365,P7,C2
U563,P50,C7
U2570,P32,C9
U962,P62,C4
U3949,P17,C1
U2705,P36,C6
U7037,P32,C9
U7106,P79,C8
